job_id,image_name,width,height,object_count,gpu_time_ms,total_time_ms,status
326,000000034760,256,256,2,0.338,1.350,success
327,000000034873,256,256,10,0.298,1.780,success
328,000000035062,256,256,4,0.359,1.387,success
329,000000035197,256,256,4,0.322,1.980,success
330,000000035279,256,256,18,0.523,2.218,success
331,000000035326,256,256,7,0.342,1.870,success
332,000000035682,256,256,10,0.308,1.843,success
333,000000035770,256,256,13,0.452,2.284,success
334,000000035963,256,256,5,0.425,1.832,success
335,000000036494,256,256,23,0.334,1.740,success
336,000000036539,256,256,10,0.319,2.224,success
337,000000036660,256,256,2,0.556,1.913,success
338,000000036678,256,256,1,0.506,6.125,success
339,000000036844,256,256,12,0.328,1.636,success
340,000000036861,256,256,4,0.426,1.860,success
341,000000036936,256,256,9,0.344,1.602,success
342,000000037670,256,256,2,0.611,2.409,success
343,000000037689,256,256,1,0.324,1.999,success
344,000000037740,256,256,6,0.442,2.008,success
345,000000037751,256,256,1,0.356,1.817,success
346,000000037777,256,256,6,0.395,2.155,success
347,000000037988,256,256,4,0.461,1.551,success
348,000000038048,256,256,5,0.453,2.110,success
349,000000038070,256,256,3,0.518,1.917,success
350,000000038118,256,256,1,0.325,1.929,success
351,000000038210,256,256,4,0.311,1.806,success
352,000000038576,256,256,5,0.487,2.184,success
353,000000038678,256,256,11,0.357,1.719,success
354,000000038825,256,256,32,0.373,1.939,success
355,000000038829,256,256,9,0.397,1.549,success
356,000000039405,256,256,0,0.348,1.387,success
357,000000039477,256,256,7,0.379,2.265,success
358,000000039480,256,256,4,0.339,1.466,success
359,000000039484,256,256,11,0.407,1.949,success
360,000000039551,256,256,5,0.346,2.027,success
361,000000039670,256,256,6,0.351,1.668,success
362,000000039769,256,256,15,0.474,2.091,success
363,000000039785,256,256,2,0.321,1.622,success
364,000000039914,256,256,1,0.322,1.240,success
365,000000039951,256,256,6,0.310,1.358,success
366,000000039956,256,256,6,0.473,1.904,success
367,000000040036,256,256,17,0.517,1.985,success
368,000000040083,256,256,15,0.314,1.815,success
369,000000040471,256,256,4,0.327,2.135,success
370,000000040757,256,256,3,0.303,1.255,success
371,000000041488,256,256,25,0.371,1.804,success
372,000000041633,256,256,9,0.339,1.897,success
373,000000041635,256,256,4,0.498,2.012,success
374,000000041872,256,256,5,0.370,1.522,success
375,000000041888,256,256,11,0.420,2.202,success
376,000000041990,256,256,2,0.340,2.485,success
377,000000042070,256,256,14,0.338,1.918,success
378,000000042102,256,256,8,0.323,1.870,success
379,000000042178,256,256,8,0.329,1.796,success
380,000000042276,256,256,9,0.332,1.993,success
381,000000042296,256,256,8,0.596,2.396,success
382,000000042528,256,256,8,0.362,1.848,success
383,000000042563,256,256,2,0.478,2.364,success
384,000000042628,256,256,2,0.353,2.374,success
385,000000042888,256,256,16,0.346,1.583,success
386,000000042889,256,256,7,0.355,1.674,success
387,000000043314,256,256,4,0.502,1.894,success
388,000000043435,256,256,1,0.393,1.988,success
389,000000043581,256,256,13,0.326,1.304,success
390,000000043737,256,256,2,0.303,1.557,success
391,000000043816,256,256,14,0.333,1.643,success
392,000000044068,256,256,1,0.317,1.299,success
393,000000044195,256,256,10,0.303,1.614,success
394,000000044260,256,256,33,0.343,1.818,success
395,000000044279,256,256,18,0.333,1.833,success
396,000000044590,256,256,6,0.382,2.101,success
397,000000044652,256,256,8,0.314,1.443,success
398,000000044699,256,256,12,0.415,1.779,success
399,000000044877,256,256,10,0.394,2.248,success
400,000000045070,256,256,7,0.331,1.668,success
401,000000045090,256,256,4,0.385,1.542,success
402,000000045229,256,256,6,0.314,1.429,success
403,000000045472,256,256,12,0.322,1.592,success
404,000000045550,256,256,5,0.344,1.702,success
405,000000045596,256,256,20,0.361,1.645,success
406,000000045728,256,256,20,0.328,1.470,success
407,000000046031,256,256,5,0.523,2.161,success
408,000000046048,256,256,7,0.355,1.622,success
409,000000046252,256,256,21,0.340,1.901,success
410,000000046378,256,256,15,0.366,1.560,success
411,000000046463,256,256,7,0.327,1.827,success
412,000000046497,256,256,12,0.350,1.729,success
413,000000046804,256,256,6,0.356,1.612,success
414,000000046872,256,256,18,0.347,1.652,success
415,000000047010,256,256,7,0.314,1.841,success
416,000000047112,256,256,21,0.302,1.471,success
417,000000047121,256,256,2,0.368,2.489,success
418,000000047571,256,256,17,0.341,2.072,success
419,000000047585,256,256,7,0.336,1.506,success
420,000000047740,256,256,8,0.351,1.470,success
421,000000047769,256,256,8,0.328,1.856,success
422,000000047801,256,256,15,0.362,1.627,success
423,000000047819,256,256,18,0.347,1.871,success
424,000000047828,256,256,4,0.547,1.650,success
425,000000048153,256,256,2,0.353,1.428,success
426,000000048396,256,256,12,0.393,1.590,success
427,000000048504,256,256,7,0.331,1.363,success
428,000000048555,256,256,4,0.349,2.293,success
429,000000048564,256,256,14,0.294,1.458,success
430,000000048924,256,256,5,0.288,1.565,success
431,000000049060,256,256,8,0.318,1.858,success
432,000000049091,256,256,21,0.532,1.966,success
433,000000049259,256,256,10,0.461,2.150,success
434,000000049269,256,256,4,0.359,1.507,success
435,000000049759,256,256,8,0.325,1.501,success
436,000000049761,256,256,2,0.381,2.311,success
437,000000049810,256,256,9,0.351,1.890,success
438,000000050006,256,256,5,0.362,1.883,success
439,000000050145,256,256,16,0.349,2.124,success
440,000000050149,256,256,17,0.347,1.994,success
441,000000050165,256,256,3,0.357,1.821,success
442,000000050326,256,256,8,0.506,2.606,success
443,000000050331,256,256,21,0.331,1.956,success
444,000000050380,256,256,10,0.343,1.883,success
445,000000050638,256,256,8,0.359,1.753,success
446,000000050679,256,256,6,0.370,2.047,success
447,000000050811,256,256,11,0.324,2.104,success
448,000000050828,256,256,3,0.379,2.155,success
449,000000050844,256,256,11,0.401,2.163,success
450,000000050896,256,256,12,0.445,1.890,success
451,000000050943,256,256,6,0.339,1.830,success
452,000000051008,256,256,2,0.348,2.223,success
453,000000051309,256,256,17,0.404,1.906,success
454,000000051314,256,256,5,0.427,2.465,success
455,000000051326,256,256,11,0.319,1.960,success
456,000000051598,256,256,2,0.340,1.993,success
457,000000051610,256,256,1,0.344,2.381,success
458,000000051712,256,256,18,0.516,2.158,success
459,000000051738,256,256,5,0.354,2.066,success
460,000000051938,256,256,6,0.466,1.874,success
461,000000051961,256,256,27,0.365,1.905,success
462,000000051976,256,256,2,0.329,1.411,success
463,000000052007,256,256,10,0.467,2.428,success
464,000000052017,256,256,2,0.380,2.607,success
465,000000052412,256,256,14,0.446,2.247,success
466,000000052413,256,256,8,0.319,1.571,success
467,000000052462,256,256,4,0.440,2.530,success
468,000000052507,256,256,14,0.323,1.728,success
469,000000052565,256,256,17,0.432,1.774,success
470,000000052591,256,256,7,0.304,2.081,success
471,000000052891,256,256,8,0.427,2.196,success
472,000000052996,256,256,12,0.311,1.526,success
473,000000053505,256,256,8,0.317,1.615,success
474,000000053529,256,256,7,0.340,1.963,success
475,000000053624,256,256,15,0.399,2.326,success
476,000000053626,256,256,17,0.358,2.129,success
477,000000053909,256,256,9,0.345,2.216,success
478,000000053994,256,256,9,0.369,2.253,success
479,000000054123,256,256,17,0.565,2.200,success
480,000000054164,256,256,4,0.753,2.211,success
481,000000054592,256,256,2,0.347,1.604,success
482,000000054593,256,256,6,0.590,2.322,success
483,000000054605,256,256,7,0.522,2.027,success
484,000000054628,256,256,11,0.425,1.838,success
485,000000054654,256,256,8,0.425,1.938,success
486,000000054931,256,256,7,0.411,1.957,success
487,000000054967,256,256,7,0.370,1.797,success
488,000000055002,256,256,6,0.350,2.151,success
489,000000055022,256,256,13,0.420,2.279,success
490,000000055072,256,256,3,0.379,1.853,success
491,000000055150,256,256,13,0.332,1.991,success
492,000000055167,256,256,16,0.670,2.072,success
493,000000055299,256,256,2,0.601,2.647,success
494,000000055528,256,256,11,0.303,1.840,success
495,000000055950,256,256,12,0.352,1.547,success
496,000000056127,256,256,26,0.528,2.266,success
497,000000056288,256,256,2,0.356,2.073,success
498,000000056344,256,256,9,0.345,1.637,success
499,000000056350,256,256,4,0.407,2.165,success
500,000000056545,256,256,14,0.312,1.530,success
501,000000057027,256,256,11,0.382,1.664,success
502,000000057149,256,256,5,0.303,2.047,success
503,000000057150,256,256,11,0.342,1.698,success
504,000000057232,256,256,29,0.337,1.929,success
505,000000057238,256,256,3,0.364,1.876,success
506,000000057244,256,256,21,0.338,1.832,success
507,000000057597,256,256,9,0.316,1.410,success
508,000000057672,256,256,7,0.483,1.989,success
509,000000057725,256,256,3,0.651,2.104,success
510,000000057760,256,256,5,0.336,2.143,success
511,000000058029,256,256,5,0.343,1.886,success
512,000000058111,256,256,4,0.387,2.147,success
513,000000058350,256,256,5,0.364,1.885,success
514,000000058384,256,256,4,0.565,2.278,success
515,000000058393,256,256,5,0.372,1.939,success
516,000000058539,256,256,19,0.390,1.925,success
517,000000058636,256,256,7,0.489,2.470,success
518,000000058655,256,256,7,0.336,1.650,success
519,000000058705,256,256,8,0.417,2.018,success
520,000000059044,256,256,10,0.368,1.442,success
521,000000059386,256,256,16,0.525,1.984,success
522,000000059598,256,256,3,0.391,2.251,success
523,000000059635,256,256,11,0.389,1.902,success
524,000000059920,256,256,2,0.367,1.790,success
525,000000060052,256,256,7,0.582,3.125,success
526,000000060090,256,256,18,0.592,2.941,success
527,000000060102,256,256,14,0.467,2.005,success
528,000000060347,256,256,14,0.471,1.953,success
529,000000060363,256,256,4,0.434,2.239,success
530,000000060449,256,256,11,0.471,2.049,success
531,000000060507,256,256,22,0.448,1.884,success
532,000000060770,256,256,31,0.349,2.046,success
533,000000060823,256,256,28,0.337,1.866,success
534,000000060835,256,256,28,0.336,2.000,success
535,000000060855,256,256,3,0.380,1.874,success
536,000000060886,256,256,6,0.343,1.493,success
537,000000060899,256,256,6,0.315,1.393,success
538,000000060932,256,256,8,0.336,1.475,success
539,000000061108,256,256,7,0.341,1.527,success
540,000000061171,256,256,11,0.380,1.784,success
541,000000061268,256,256,6,0.546,1.926,success
542,000000061333,256,256,7,0.561,2.044,success
543,000000061418,256,256,23,0.367,1.951,success
544,000000061471,256,256,10,0.326,1.691,success
545,000000061584,256,256,9,0.337,1.702,success
546,000000061658,256,256,13,0.354,1.950,success
547,000000061747,256,256,4,0.305,1.767,success
548,000000061960,256,256,6,0.355,1.819,success
549,000000062025,256,256,7,0.319,1.883,success
550,000000062353,256,256,13,0.550,1.967,success
551,000000062355,256,256,16,0.327,1.629,success
552,000000062554,256,256,4,0.325,1.725,success
553,000000062692,256,256,8,0.341,1.345,success
554,000000062808,256,256,21,0.342,1.596,success
555,000000063047,256,256,17,0.339,1.637,success
556,000000063154,256,256,11,0.315,1.945,success
557,000000063552,256,256,6,0.299,1.784,success
558,000000063602,256,256,9,0.300,1.641,success
559,000000063740,256,256,8,0.436,2.087,success
560,000000063965,256,256,2,0.333,1.512,success
561,000000064084,256,256,18,0.319,1.702,success
562,000000064359,256,256,7,0.332,1.438,success
563,000000064462,256,256,2,0.306,1.835,success
564,000000064495,256,256,10,0.306,1.916,success
565,000000064499,256,256,6,0.360,1.714,success
566,000000064523,256,256,7,0.475,2.060,success
567,000000064574,256,256,4,0.318,1.573,success
568,000000064718,256,256,11,0.341,1.464,success
569,000000064868,256,256,8,0.305,1.855,success
570,000000064898,256,256,14,0.382,2.318,success
571,000000065074,256,256,10,0.450,2.726,success
572,000000065288,256,256,24,0.336,1.895,success
573,000000065350,256,256,8,0.319,1.613,success
574,000000065455,256,256,20,0.337,1.841,success
575,000000065485,256,256,8,0.365,1.823,success
576,000000065736,256,256,7,0.312,1.358,success
577,000000065798,256,256,3,0.310,1.444,success
578,000000066038,256,256,14,0.355,1.815,success
579,000000066135,256,256,11,0.350,1.677,success
580,000000066231,256,256,12,0.350,1.530,success
581,000000066523,256,256,6,0.368,2.138,success
582,000000066561,256,256,5,0.381,1.796,success
583,000000066635,256,256,6,0.322,1.810,success
584,000000066706,256,256,24,0.354,1.830,success
585,000000066771,256,256,12,0.297,1.637,success
586,000000066817,256,256,4,0.368,2.074,success
587,000000066841,256,256,8,0.305,1.712,success
588,000000066886,256,256,10,0.328,1.914,success
589,000000066926,256,256,23,0.401,2.047,success
590,000000067180,256,256,10,0.475,2.434,success
591,000000067213,256,256,8,0.319,1.300,success
592,000000067310,256,256,6,0.374,1.985,success
593,000000067315,256,256,4,0.319,1.504,success
594,000000067406,256,256,1,0.423,2.381,success
595,000000067534,256,256,5,0.398,2.212,success
596,000000067616,256,256,22,0.432,6.045,success
597,000000067896,256,256,39,0.443,2.144,success
598,000000068078,256,256,5,0.463,1.823,success
599,000000068093,256,256,19,0.366,1.676,success
600,000000068286,256,256,3,0.365,2.060,success
601,000000068387,256,256,10,0.496,1.712,success
602,000000068409,256,256,15,0.318,1.703,success
603,000000068628,256,256,8,0.580,2.041,success
604,000000068765,256,256,7,0.400,2.179,success
605,000000068833,256,256,8,0.402,1.590,success
